Joginder Sharma    402    83    120    14    0    38    17
JP Duminy    712    246    284    36    0    44    30
JP Faulkner    1306    414    332    88    4    120    51
JR Hopes    539    128    143    26    0    44    28
JW Hastings    28    10    2    1    0    6    0
K Cooper    593    188    184    50    0    49    18
K Goel    92    21    27    7    1    9    2
K Santokie    87    19    13    7    0    6    6
K Upadhyay    79    22    20    1    1    9    3
KA Pollard    1579    410    539    89    2    133    54
KAJ Roach    76    24    12    3    0    10    3
Kamran Khan    214    79    53    5    1    22    10
Karanveer Singh    312    75    79    20    1    19    19
KC Cariappa    28    3    4    0    0    3    2
KK Cooper    132    45    38    12    0    10    5
KMDN Kulasekara    115    52    27    12    0    16    0
KP Appanna    278    76    99    15    1    20    11
KP Pietersen    205    63    86    11    1    10    9
KV Sharma    933    291    316    44    3    49    54
KW Richardson    300    102    82    17    0    25    14
L Ablish    72    14    16    3    0    11    1
L Balaji    1952    641    568    106    2    188    69
LA Carseldine    5    5    1    0    0    1    0
LJ Wright    120    19    38    4    0    5    9
LMP Simmons    34    2    10    2    0    2    2
LPC Silva    21    0    3    0    0    0    3
LR Shukla    429    127    112    31    1    39    16
LRPL Taylor    23    1    9    1    0    0    2
M de Lange    157    48    38    4    1    21    4
M Kartik    1341    433    521    84    6    97    41
M Manhas    42    15    21    2    1    2    1
M Morkel    1715    706    433    83    10    198    49
M Muralitharan    1632    693    611    100    3    104    66
M Ntini    238    110    59    6    1    29    8
M Vijay    41    6    17    2    0    5    0
MA Khote    51    6    13    5    0    4    2
MA Starc    656    287    182    56    2    77    8
Mashrafe Mortaza    54    10    6    4    0    4    4
MB Parmar    32    5    8    0    0    6    0
MC Henriques    563    184    159    28    2    66    13
MF Maharoof    494    196    156    25    1    46    16
MG Johnson    1181    476    250    59    5    141    39
MG Neser    61    5    7    3    0    6    4
MJ Clarke    67    24    33    3    0    4    2
MJ McClenaghan    363    147    90    14    1    38    15
MK Tiwary    71    11    15    3    0    2    7
MM Patel    1613    623    404    70    8    182    52
MM Sharma    1243    421    315    67    6    140    36
MN Samuels    244    80    78    12    0    22    9
Mohammad Asif    289    77    62    14    1    37    8
Mohammad Hafeez    61    28    27    1    0    5    2
Mohammed Shami    348    128    85    17    1    37    13
MR Marsh    358    100    110    13    0    36    13
MS Gony    1221    394    283    47    4    130    52
ND Doshi    78    25    20    1    0    5    6
NJ Rimmington    19    10    3    2    0    3    0
NL McCullum    34    11    14    2    0    1    2
NLTC Perera    675    194    188    35    1    78    17
NM Coulter-Nile    365    158    87    13    2    42    13
P Amarnath    236    34    51    8    2    29    7
P Awana    1000    332    242    56    1    107    35
P Kumar    2583    1060    646    125    14    272    92
P Negi    500    126    174    30    0    32    23
P Parameswaran    219    70    48    7    0    23    10
P Prasanth    18    3    0    0    0    0    3
P Suyal    140    48    31    6    1    16    5
Pankaj Singh    453    125    95    18    4    52    17
Parvez Rasool    139    41    55    5    0    8    7
PC Valthaty    199    48    70    12    1    15    7
PD Collingwood    100    25    50    8    0    4    3
PJ Cummins    116    43    26    4    0    10    7
PJ Sangwan    873    296    240    48    1    84    33
PM Sarvesh Kumar    41    12    11    1    0    7    0
PP Chawla    2756    843    929    166    5    199    114
PP Ojha    2261    753    813    128    7    146    97
PV Tambe    692    202    253    46    1    53    22
R Ashwin    2110    891    858    116    4    132    80
R Bhatia    1693    418    733    91    3    110    54
R Dhawan    553    168    200    38    1    46    15
R McLaren    520    144    120    26    2    69    11
R Ninan    65    8    17    3    0    3    5
R Rampaul    288    143    72    18    2    24    13
R Sathish    170    26    46    12    0    16    6
R Sharma    1079    351    412    54    3    70    45
R Shukla    198    53    35    11    1    21    9
R Tewatia    89    28    31    4    0    5    5
R Vinay Kumar    2754    804    726    167    7    281    89
RA Jadeja    1804    534    648    109    2    113    80
RA Shaikh    11    1    3    0    0    2    0
RE van der Merwe    486    171    202    38    2    25    17
RG More    57    7    17    7    0    5    1
RG Sharma    425    104    164    30    3    27    14
RJ Harris    998    422    236    59    2    119    27
RJ Peterson    70    21    14    3    0    5    5
RN ten Doeschate    88    27    44    5    0    4    3
RP Singh    2129    844    526    112    7    248    61
RR Bhatkal    35    0    5    2    0    2    3
RR Bose    24    5    0    2    0    5    0
RR Powar    501    191    161    28    4    41    18
RR Raje    200    45    62    8    2    23    4
RS Bopara    276    73    94    11    0    25    10
RS Gavaskar    8    2    2    1    0    1    0
RV Gomez    128    39    36    5    0    10    7
RW Price    33    1    13    0    0    2    2
S Aravind    534    187    122    27    2    58    20
S Badree    123    54    37    5    0    10    6
S Dhawan    65    21    17    1    0    7    3
S Gopal    135    33    38    12    1    7    7
S Kaul    286    79    80    18    0    29    9
S Ladda    200    48    47    7    1    10    16
S Nadeem    1053    337    435    57    4    63    40
S Narwal    195    45    27    11    0    17    13
S Rana    18    5    8    1    0    2    0
S Randiv    217    66    73    14    2    20    5
S Sreesanth    1112    471    259    45    3    130    39
S Sriram    49    2    7    1    0    4    4
S Tyagi    284    109    54    11    0    34    12
S Vidyut    21    6    3    1    0    1    2
SA Abbott    55    8    13    2    0    8    1
SA Yadav    8    2    2    1    0    1    0
Sandeep Sharma    679    282    146    32    3    79    24
Sandeep Sharma (1)    117    47    29    4    0    14    4
SB Bangar    212    60    51    10    1    24    7
SB Jakati    1201    329    403    76    6    82    50
SB Joshi    82    18    24    2    0    6    5
SB Styris    270    91    86    12    0    19    14
SB Wagh    131    56    23    6    0    21    2
SC Ganguly    359    85    138    17    1    25    14
SD Chitnis    54    13    16    2    0    4    3
SE Bond    218    81    68    12    0    27    3
Shahid Afridi    220    70    76    13    0    19    7
Shakib Al Hasan    802    307    302    43    1    52    33
Shami Ahmed    71    25    19    2    0    9    2
Shivam Sharma    165    37    47    11    0    9    10
Shoaib Ahmed    151    36    40    5    1    14    7
Shoaib Akhtar    50    27    8    3    0    6    2
Shoaib Malik    77    23    19    6    0    7    3
SJ Srivastava    409    130    96    16    1    50    13
SK Raina    907    282    375    36    4    58    36
SK Trivedi    1840    572    649    126    4    154    51
SK Warne    1408    471    504    99    2    91    56
SL Malinga    2407    1143    816    144    7    250    47
SM Harwood    61    41    12    5    1    6    2
SM Pollock    297    136    89    14    2    30    9
SMSM Senanayake    206    78    84    9    2    17    5
SN Thakur    36    8    4    2    0    4    2
Sohail Tanvir    246    148    70    13    0    27    7
SP Narine    1300    609    484    99    2    90    42
SPD Smith    5    0    1    0    0    1    0
