DR Tuffey	92	26	16	5	0	9	5
DSNFG Jayasuriya	37	7	9	3	2	1	2
DT Christian	309	61	97	13	2	24	14
DT Johnston	497	250	144	35	3	46	15
DW Steyn	833	446	244	65	3	87	17
E Chigumbura	287	70	72	21	1	26	11
E Leie	47	13	17	2	0	2	3
E Otieno	178	76	45	14	1	24	1
E Schiferli	110	35	31	15	1	10	1
EC Rainsford	66	12	12	3	0	6	4
Ehsan Nawaz	10	2	2	0	0	2	0
EHSN Silva	58	16	16	2	0	5	3
Elias Sunny	89	35	27	5	0	7	4
EP Thompson	17	11	5	1	0	1	1
F Behardien	12	3	8	0	0	1	0
F du Plessis	3	5	3	0	0	0	0
Farhad Reza	255	41	73	19	0	18	12
Fawad Ahmed	67	13	21	8	0	6	1
Fawad Alam	88	27	24	14	0	3	4
Fayyaz Ahmed	29	5	7	2	0	3	1
FH Edwards	460	189	107	22	5	48	17
G Dockrell	35	24	18	3	1	2	0
G Goudie	97	16	33	10	0	5	4
G Snyman	19	4	5	2	0	1	1
G Wijekoon	93	17	35	9	0	1	6
GA Lamb	78	34	28	6	0	2	5
GA Rogers	49	6	9	4	0	5	2
GB Brent	51	21	13	1	2	6	1
GB Hogg	357	114	122	21	1	31	11
GC Smith	53	5	9	6	0	2	4
GC Tonge	25	11	9	1	0	2	1
GD Drummond	183	60	54	12	1	18	5
GD Elliott	59	7	13	3	0	4	4
GD McGrath	78	16	14	8	0	9	2
GE Mathurin	63	31	21	4	0	1	5
GEF Barnett	10	2	2	2	0	1	0
GH Dockrell	525	222	197	31	6	32	20
GH O'Brien	8	19	8	0	0	0	0
GH Worker	18	5	4	1	0	3	0
GI Maiden	14	7	2	1	0	1	1
GJ Batty	16	10	6	2	0	0	1
GJ Maxwell	369	132	140	23	3	30	9
GJ McCarter	30	3	8	3	0	4	0
GJP Kruger	27	9	13	1	0	3	0
GP Swann	837	322	372	61	7	34	31
GT Main	19	12	3	2	0	3	0
Gulbadin Naib	21	7	3	0	0	3	1
Gulbodin Naib	20	8	6	2	0	1	1
GW Aldridge	45	7	6	3	1	6	1
H Davids	10	6	6	0	0	1	0
H Masakadza	95	23	23	2	0	8	6
