BJ Rohrer	1.142857143	16	14
JP Faulkner	1.065934066	97	91
NM Coulter-Nile	1.242424242	41	33
BCJ Cutting	1.458333333	35	24
TC Mutombodzi	0.9375	15	16
N Mushangwe	1.25	5	4
CH Morris	0	0	1
KJ Abbott	1.071428571	15	14
NM Carter	0.307692308	4	13
MW Machan	1.295774648	276	213
MM Iqbal	1	34	34
D Murphy	1	35	35
Usman Limbada	1.23255814	53	43
IA Karim	0.992063492	125	126
Hamza Tariq	1.074074074	29	27
MS Aulakh	0	0	2
Shamsur Rahman	1	86	86
Sohag Gazi	0.95	57	60
Mominul Haque	1.132075472	60	53
MJG Rippon	0.942307692	49	52
PA van Meekeren	0.428571429	3	7
SC Williams	1.265432099	205	162
Sikandar Raza	0.916030534	120	131
T Panyangara	0.333333333	1	3
Umar Amin	1	76	76
Zulfiqar Babar	0.964285714	27	28
Haris Sohail	0.918367347	45	49
TL Best	1.888888889	17	9
D Wiese	1.147058824	39	34
Sohaib Maqsood	1.178861789	145	123
Anwar Ali	1.511627907	65	43
JE Root	1.274111675	251	197
Fawad Ahmed	0.6	3	5
Hashmatullah Shaidi	1	1	1
NJ Maddinson	1.727272727	38	22
Afsar Zazai	0.409090909	9	22
AP Devcich	1.37037037	111	81
Al-Amin Hossain	0.75	6	8
Mohammad Irfan	0.5	4	8
Gulbadin Naib	1.058823529	90	85
RML Taylor	1.543478261	71	46
G Goudie	0.5	2	4
SM Sharif	1.275862069	37	29
I Wardlaw	0.333333333	1	3
MA Leask	1.146666667	86	75
BN Cooper	1.146616541	305	266
Hamza Hotak	0.714285714	5	7
AS Dean	1	1	1
JOA Gordon	0.5	2	4
MH Cross	1.729411765	147	85
JNK Shannon	0.666666667	2	3
Sharjeel Khan	1.378378378	102	74
Bilawal Bhatti	1.533333333	23	15
S Prasanna	1.476190476	31	21
Usman Khan	0.666666667	2	3
KOA Powell	0.857142857	12	14
CAK Walton	0.818181818	9	11
CA Lynn	1.65	33	20
CJ Jordan	1.290322581	80	62
Mithun Ali	0	0	1
Sabbir Rahman	0.981481481	106	108
Arafat Sunny	0.785714286	11	14
AK Perera	0.444444444	4	9
SR Thompson	0.962962963	26	27
TJ Murtagh	1	2	2
MM Ali	1.240384615	129	104
BE Hendricks	0.9375	15	16
Najeeb Tarakai	0.777777778	14	18
SP Khakurel	0.785714286	110	140
Sagar Pun	0.876190476	92	105
G Malla	1.074534161	173	161
P Khadka	0.897727273	158	176
B Bhandari	0.526315789	20	38
S Vesawkar	0.957219251	179	187
NB Budayair	0.368421053	7	19
SP Gauchan	0.302325581	13	43
Irfan Ahmed	0.873563218	76	87
JJ Atkinson	0.99009901	100	101
Waqas Barkat	0.870967742	54	62
Babar Hayat	0.847826087	78	92
MS Chapman	1.081632653	159	147
Nizakat Khan	1.039215686	106	102
Tanwir Afzal	0.767857143	43	56
Aizaz Khan	0.985915493	70	71
Najeeb Amar	0.222222222	2	9
Haseeb Amjad	0.967741935	30	31
Nadeem Ahmed	0.9	18	20
Amjad Ali	0.754716981	40	53
Faizan Asif	1.15942029	80	69
SP Patil	0.852173913	98	115
Khurram Khan	0.948051948	73	77
Shaiman Anwar	1.175925926	127	108
Rohan Mustafa	1.057142857	37	35
Amjad Javed	0.912280702	52	57
V Shetty	0.785714286	11	14
EHSN Silva	0.695652174	16	23
Kamran Shazad	1.166666667	21	18
AM Guruge	0.375	3	8
Munir Dar	1.147058824	39	34
Ahmed Raza	0	0	4
LV van Beek	0.25	3	12
Imran Tahir	1.545454545	17	11
JM Muirhead	0.5	4	8
DE Bollinger	1	1	1
SD Parry	1	1	1
KDK Vithanage	1.258064516	39	31
MA Carberry	0.777777778	7	9
JJ Roy	1	42	42
AT Rayudu	0.5	3	6
Saad Nasim	0.814814815	44	54
PJ Hughes	0.75	6	8
BR Dunk	1.147058824	39	34
NJ Reardon	0.5	4	8
RR Hendricks	1.025423729	121	118
RR Rossouw	1.457446809	274	188
SA Abbott	0.555555556	5	9
CJ Boyce	1	1	1
RP Magar	0.4875	39	80
B Regmi	0.37254902	19	51
Sompal Kami	1.013157895	77	76
A Bhattarai	0.666666667	2	3
KD Shah	0.5	16	32
